,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,1. svátek vánoční,1. svátek vánoční_lower,1. svátek vánoční_upper,2. svátek vánoční,2. svátek vánoční_lower,2. svátek vánoční_upper,Den boje za svobodu a demokracii,Den boje za svobodu a demokracii_lower,Den boje za svobodu a demokracii_upper,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu_lower,Den obnovy samostatného českého státu_upper,Den slovanských věrozvěstů Cyrila a Metoděje,Den slovanských věrozvěstů Cyrila a Metoděje_lower,Den slovanských věrozvěstů Cyrila a Metoděje_upper,Den upálení mistra Jana Husa,Den upálení mistra Jana Husa_lower,Den upálení mistra Jana Husa_upper,Den vzniku samostatného československého státu,Den vzniku samostatného československého státu_lower,Den vzniku samostatného československého státu_upper,Den vítězství,Den vítězství_lower,Den vítězství_upper,Den české státnosti,Den české státnosti_lower,Den české státnosti_upper,Svátek práce,Svátek práce_lower,Svátek práce_upper,Velikonoční pondělí,Velikonoční pondělí_lower,Velikonoční pondělí_upper,Velký pátek,Velký pátek_lower,Velký pátek_upper,black_friday,black_friday_lower,black_friday_upper,covid_lockdown,covid_lockdown_lower,covid_lockdown_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,humidity,humidity_lower,humidity_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,nye,nye_lower,nye_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,Štědrý den,Štědrý den_lower,Štědrý den_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2019-07-02,38545.69265291577,4024.9598351576633,51379.32265654663,38545.69265291577,38545.69265291577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043286626610499514,-0.043286626610499514,-0.043286626610499514,0.0,0.0,0.0,-0.010339520265305553,-0.010339520265305553,-0.010339520265305553,-0.2800139253804063,-0.2800139253804063,-0.2800139253804063,0.0,0.0,0.0,-0.03294710634519396,-0.03294710634519396,-0.03294710634519396,0.04641600628812465,0.04641600628812465,0.04641600628812465,-0.2831433050580315,-0.2831433050580315,-0.2831433050580315,0.0,0.0,0.0,0.0,0.0,0.0,27752.361946666137
1,2019-07-03,38602.7707513621,2542.549451086177,49442.14045909785,38602.7707513621,38602.7707513621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048382985922849446,-0.048382985922849446,-0.048382985922849446,0.0,0.0,0.0,-0.023523515882037386,-0.023523515882037386,-0.023523515882037386,-0.3173740885819009,-0.3173740885819009,-0.3173740885819009,0.0,0.0,0.0,-0.024859470040812057,-0.024859470040812057,-0.024859470040812057,0.012112311478732096,0.012112311478732096,0.012112311478732096,-0.28110341413778356,-0.28110341413778356,-0.28110341413778356,0.0,0.0,0.0,0.0,0.0,0.0,26351.251567412488
2,2019-07-04,38659.84884980841,1919.4174738414335,48264.9654386401,38659.84884980841,38659.84884980841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050713168795627796,-0.050713168795627796,-0.050713168795627796,0.0,0.0,0.0,-0.02022751697785443,-0.02022751697785443,-0.02022751697785443,-0.3564089319533108,-0.3564089319533108,-0.3564089319533108,0.0,0.0,0.0,-0.030485651817773365,-0.030485651817773365,-0.030485651817773365,-0.02773550000000007,-0.02773550000000007,-0.02773550000000007,-0.27796026315768296,-0.27796026315768296,-0.27796026315768296,0.0,0.0,0.0,0.0,0.0,0.0,24881.133411771763
3,2019-07-05,38716.92694825473,-2375.2558644116893,42101.18447020846,38716.92694825473,38716.92694825473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0814924,-0.0814924,-0.0814924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059635349476772084,-0.059635349476772084,-0.059635349476772084,-0.0814924,-0.0814924,-0.0814924,-0.023523515882037386,-0.023523515882037386,-0.023523515882037386,-0.49155500627356447,-0.49155500627356447,-0.49155500627356447,0.0,0.0,0.0,-0.036111833594734695,-0.036111833594734695,-0.036111833594734695,-0.07665514326023073,-0.07665514326023073,-0.07665514326023073,-0.2737721135365616,-0.2737721135365616,-0.2737721135365616,0.0,0.0,0.0,0.0,0.0,0.0,19685.427679312237
4,2019-07-06,38774.00504670105,-4769.632009926366,44565.095413467374,38774.00504670105,38774.00504670105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133838,-0.0133838,-0.0133838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06469110880160296,-0.06469110880160296,-0.06469110880160296,-0.0133838,-0.0133838,-0.0133838,-0.01803018437506579,-0.01803018437506579,-0.01803018437506579,-0.4928840584787351,-0.4928840584787351,-0.4928840584787351,0.0,0.0,0.0,-0.04666092442653717,-0.04666092442653717,-0.04666092442653717,-0.14620052193982463,-0.14620052193982463,-0.14620052193982463,-0.2686086277373075,-0.2686086277373075,-0.2686086277373075,0.0,0.0,0.0,0.0,0.0,0.0,19662.916075808083
5,2019-07-07,38831.08314514737,7487.8966799370655,54315.36415588111,38831.08314514737,38831.08314514737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020783478118001724,-0.020783478118001724,-0.020783478118001724,0.0,0.0,0.0,-0.001550189854150995,-0.001550189854150995,-0.001550189854150995,-0.2126284766905375,-0.2126284766905375,-0.2126284766905375,0.0,0.0,0.0,-0.01923328826385073,-0.01923328826385073,-0.01923328826385073,0.07070490468825068,0.07070490468825068,0.07070490468825068,-0.2625499032607865,-0.2625499032607865,-0.2625499032607865,0.0,0.0,0.0,0.0,0.0,0.0,30574.48908775108
6,2019-07-08,38888.1612435937,9928.689934282154,55781.42004000802,38888.1612435937,38888.1612435937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03005571654485858,-0.03005571654485858,-0.03005571654485858,0.0,0.0,0.0,-0.013635519169488512,-0.013635519169488512,-0.013635519169488512,-0.16438308747190047,-0.16438308747190047,-0.16438308747190047,0.0,0.0,0.0,-0.01642019737537007,-0.01642019737537007,-0.01642019737537007,0.12135794274506892,0.12135794274506892,0.12135794274506892,-0.2556853136721108,-0.2556853136721108,-0.2556853136721108,0.0,0.0,0.0,0.0,0.0,0.0,32495.605232266666
7,2019-07-09,38945.23934204001,7172.168188448032,53482.98917424888,38945.23934204001,38945.23934204001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025396929414649366,-0.025396929414649366,-0.025396929414649366,0.0,0.0,0.0,-0.011438186566699872,-0.011438186566699872,-0.011438186566699872,-0.22709309358763483,-0.22709309358763483,-0.22709309358763483,0.0,0.0,0.0,-0.013958742847949493,-0.013958742847949493,-0.013958742847949493,0.04641600628800543,0.04641600628800543,0.04641600628800543,-0.2481121704609909,-0.2481121704609909,-0.2481121704609909,0.0,0.0,0.0,0.0,0.0,0.0,30101.04445934528
8,2019-07-10,39002.31744048634,6426.926809592085,51144.88660851293,39002.31744048634,39002.31744048634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030276081251276447,-0.030276081251276447,-0.030276081251276447,0.0,0.0,0.0,-0.010339520265305553,-0.010339520265305553,-0.010339520265305553,-0.2580979940671178,-0.2580979940671178,-0.2580979940671178,0.0,0.0,0.0,-0.019936560985970894,-0.019936560985970894,-0.019936560985970894,0.012112311478778141,0.012112311478778141,0.012112311478778141,-0.2399342242946195,-0.2399342242946195,-0.2399342242946195,0.0,0.0,0.0,0.0,0.0,0.0,28935.897545127853
9,2019-07-11,39059.39553893266,4814.231392959817,51471.89805824097,39059.39553893266,39059.39553893266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030452688739480243,-0.030452688739480243,-0.030452688739480243,0.0,0.0,0.0,-0.005944855059728274,-0.005944855059728274,-0.005944855059728274,-0.2894482175348951,-0.2894482175348951,-0.2894482175348951,0.0,0.0,0.0,-0.02450783367975197,-0.02450783367975197,-0.02450783367975197,-0.027735500000198945,-0.027735500000198945,-0.027735500000198945,-0.23126002879521596,-0.23126002879521596,-0.23126002879521596,0.0,0.0,0.0,0.0,0.0,0.0,27753.723122198167
