ds,temperature,condition,humidity,condition_severity
2019-06-01,22.6,Sunny,68.0,0
2019-06-02,24.8,Sunny,62.0,0
2019-06-03,25.1,Sunny,63.0,0
2019-06-04,25.5,Moderate or heavy rain shower,65.0,4
2019-06-05,25.5,Sunny,66.0,0
2019-06-06,22.2,Thundery outbreaks possible,77.0,1
2019-06-07,19.7,Cloudy,81.0,0
2019-06-08,19.3,Sunny,63.0,0
2019-06-10,25.8,Thundery outbreaks possible,71.0,1
2019-06-11,26.7,Thundery outbreaks possible,69.0,1
2019-06-12,26.8,Sunny,64.0,0
2019-06-13,21.4,Cloudy,71.0,0
2019-06-14,25.9,Sunny,67.0,0
2019-06-15,27.2,Sunny,62.0,0
2019-06-16,18.2,Light rain shower,77.0,2
2019-06-17,21.5,Partly cloudy,67.0,0
2019-06-18,22.9,Sunny,68.0,0
2019-06-19,24.5,Patchy rain possible,66.0,1
2019-06-20,24.8,Thundery outbreaks possible,64.0,1
2019-06-21,22.5,Patchy rain possible,68.0,1
2019-06-22,21.2,Moderate or heavy rain shower,73.0,4
2019-06-23,21.6,Patchy rain possible,70.0,1
2019-06-24,23.4,Sunny,62.0,0
2019-06-25,26.5,Sunny,67.0,0
2019-06-26,31.1,Sunny,61.0,0
2019-06-27,23.8,Sunny,62.0,0
2019-06-28,20.8,Sunny,63.0,0
2019-06-29,25.9,Sunny,56.0,0
2019-06-30,28.8,Sunny,52.0,0
2019-07-01,28.1,Patchy light rain with thunder,61.0,2
2019-07-02,21.1,Partly cloudy,63.0,0
2019-07-03,18.8,Sunny,51.0,0
2019-07-04,20.4,Sunny,54.0,0
2019-07-05,22.0,Partly cloudy,51.0,0
2019-07-06,25.0,Sunny,56.0,0
2019-07-07,17.2,Light rain shower,71.0,2
2019-07-08,16.4,Partly cloudy,60.0,0
2019-07-09,15.7,Patchy rain possible,62.0,1
2019-07-10,17.4,Sunny,63.0,0
2019-07-11,18.7,Partly cloudy,67.0,0
2019-07-12,19.7,Moderate or heavy rain shower,74.0,4
2019-07-13,18.8,Moderate or heavy rain shower,74.0,4
2019-07-14,18.6,Patchy rain possible,74.0,1
2019-07-15,18.7,Partly cloudy,71.0,0
2019-07-16,18.2,Cloudy,68.0,0
2019-07-17,19.1,Partly cloudy,67.0,0
2019-07-18,22.8,Partly cloudy,59.0,0
2019-07-19,22.3,Light rain shower,66.0,2
2019-07-20,26.0,Partly cloudy,63.0,0
2019-07-21,23.6,Sunny,69.0,0
2019-07-22,24.8,Partly cloudy,58.0,0
2019-07-23,26.4,Sunny,55.0,0
2019-07-24,29.1,Sunny,55.0,0
2019-07-25,30.6,Sunny,47.0,0
2019-07-26,28.0,Sunny,53.0,0
2019-07-27,24.2,Light rain shower,66.0,2
2019-07-28,22.8,Light rain shower,76.0,2
2019-07-29,25.5,Moderate or heavy rain shower,73.0,4
2019-07-30,24.4,Moderate or heavy rain shower,75.0,4
2019-07-31,23.5,Moderate or heavy rain shower,71.0,4
2019-08-01,22.4,Partly cloudy,61.0,0
2019-08-02,22.8,Partly cloudy,58.0,0
2019-08-03,21.3,Moderate or heavy rain shower,63.0,4
2019-08-04,22.1,Partly cloudy,60.0,0
2019-08-05,22.0,Sunny,67.0,0
2019-08-06,24.3,Patchy rain possible,68.0,1
2019-08-07,22.4,Patchy rain possible,74.0,1
2019-08-08,21.5,Sunny,69.0,0
2019-08-09,24.7,Partly cloudy,61.0,0
2019-08-10,20.5,Moderate rain at times,81.0,3
2019-08-11,24.0,Partly cloudy,65.0,0
2019-08-12,18.2,Patchy light rain,82.0,2
2019-08-13,20.0,Partly cloudy,66.0,0
2019-08-14,19.1,Patchy rain possible,53.0,1
2019-08-15,19.0,Partly cloudy,66.0,0
2019-08-16,19.4,Sunny,69.0,0
2019-08-17,20.8,Sunny,63.0,0
2019-08-18,24.9,Sunny,64.0,0
2019-08-19,21.0,Cloudy,74.0,0
2019-08-20,21.6,Light rain shower,75.0,2
2019-08-21,18.6,Sunny,68.0,0
2019-08-22,20.0,Sunny,66.0,0
2019-08-23,22.2,Sunny,65.0,0
2019-08-24,23.9,Thundery outbreaks possible,70.0,1
2019-08-25,24.4,Patchy rain possible,67.0,1
2019-08-26,25.3,Patchy rain possible,64.0,1
2019-08-27,25.0,Sunny,64.0,0
2019-08-28,26.3,Sunny,65.0,0
2019-08-29,25.7,Partly cloudy,62.0,0
2019-08-30,26.4,Sunny,62.0,0
2019-08-31,26.1,Sunny,59.0,0
2019-09-01,26.2,Patchy light rain with thunder,61.0,2
2019-09-02,17.0,Moderate rain,68.0,3
2019-09-03,18.7,Sunny,52.0,0
2019-09-04,20.3,Sunny,56.0,0
2019-09-05,19.6,Partly cloudy,60.0,0
2019-09-06,16.2,Partly cloudy,57.0,0
2019-09-07,13.1,Moderate rain,81.0,3
2019-09-08,15.6,Partly cloudy,75.0,0
2019-09-09,13.2,Light rain,85.0,2
2019-09-10,16.1,Cloudy,67.0,0
